"RANK","TEAMS","MATCHES","POINTS","RATINGS"
"1","India","63","16,881","
                            268
                            "
"2","England","49","13,029","266"
"3","Pakistan","55","14,168","258"
"4","South Africa","41","10,510","256"
"5","New Zealand","50","12,621","252"
"6","Australia","47","11,784","251"
"7","West Indies","51","12,039","236"
"8","Sri Lanka","50","11,732","235"
"9","Bangladesh","51","11,328","222"
"10","Afghanistan","30","6,512","217"
"11","Zimbabwe","46","8,976","195"
"12","Ireland","54","10,282","190"
"13","UAE","29","5,298","183"
"14","Namibia","32","5,846","183"
"15","Scotland","24","4,373","182"
"16","Nepal","30","5,387","180"
"17","Netherlands","32","5,668","177"
"18","Oman","26","4,090","157"
"19","Papua New Guinea","24","3,495","146"
"20","Canada","24","3,297","137"
"21","Hong Kong","20","2,555","128"
"22","Jersey","23","2,924","127"
"23","Qatar","17","2,074","122"
"24","Uganda","44","5,364","122"
"25","Kuwait","18","2,153","120"
"26","United States","16","1,908","119"
"27","Malaysia","32","3,621","113"
"28","Kenya","31","3,272","106"
"29","Singapore","26","2,722","105"
"30","Bahrain","28","2,903","104"
"31","Tanzania","34","3,416","100"
"32","Italy","19","1,818","96"
"33","Saudi Arabia","13","1,234","95"
"34","Germany","34","2,996","88"
"35","Bermuda","12","1,053","88"
"36","Spain","21","1,705","81"
"37","Denmark","21","1,518","72"
"38","Guernsey","17","1,194","70"
"39","Isle of Man","10","678","68"
"40","Belgium","20","1,349","67"
"41","Nigeria","28","1,868","67"
"42","Cayman Islands","8","529","66"
"43","Austria","26","1,686","65"
"44","Vanuatu","11","645","59"
"45","Portugal","11","644","59"
"46","Romania","24","1,359","57"
"47","Botswana","18","992","55"
"48","Norway","17","897","53"
"49","Finland","17","891","52"
"50","France","9","470","52"
"51","Argentina","9","435","48"
"52","Malawi","17","818","48"
"53","Sweden","16","690","43"
"54","Cook Islands","6","245","41"
"55","Czech Republic","28","1,137","41"
"56","Indonesia","7","265","38"
"57","Switzerland","11","396","36"
"58","Malta","33","1,179","36"
"59","Sierra Leone","16","571","36"
"60","Ghana","23","813","35"
"61","Japan","7","236","34"
"62","Luxembourg","23","774","34"
"63","Mozambique","23","722","31"
"64","Bhutan","8","239","30"
"65","Fiji","6","177","30"
"66","Rwanda","32","883","28"
"67","Cyprus","11","283","26"
"68","Bahamas","11","260","24"
"69","Hungary","16","358","22"
"70","Belize","6","132","22"
"71","Panama","6","125","21"
"72","Serbia","17","184","11"
"73","Bulgaria","34","296","9"
"74","Gambia","7","50","7"
"75","Lesotho","12","82","7"
"76","Maldives","15","81","5"
"77","Samoa","8","42","5"
"78","Gibraltar","21","68","3"
"79","Greece","9","27","3"
"80","Cameroon","13","0","0"
"81","Estonia","12","0","0"
"82","Eswatini","18","0","0"
"83","Thailand","10","0","0"
"84","Turkey","6","0","0"
"85","Seychelles","10","0","0"
